speaker,syllable,t_start,t_end,f0_mean,f0_min,f0_max,f0_start,f0_end,T_mean,T_start,T_end
participant 01 raw,老,69.45754,69.7604,255.1840617914772,246.90110623772827,264.81768681359006,250.13245463758577,260.51212260117813,3.473001332805785,3.2700403069339457,3.682761400055927
participant 01 raw,婆3,69.7604,70.0039,209.82907853833976,196.6539678900787,273.34437924724284,265.2771978321365,203.55910382035182,1.4865645179296874,3.866754694838681,1.1786195274701832
participant 01 raw,婆4,70.0039,70.37239,230.64552700756374,210.39565322012427,283.1745803445337,210.83512710724168,271.235535447366,2.4467198551594596,1.535117546098101,4.092227950064976
participant 01 raw,老,72.01262,72.30707,251.57684128695675,240.04465259152437,286.78134612505545,258.9682561485919,251.83151115808516,3.3284876296825714,3.622425754255451,3.338758075450736
participant 01 raw,公1,72.30707,72.53422,274.2347363106768,265.653181231488,280.6219631998201,268.65407384617646,278.90148481091177,4.203855385620648,3.9951554723087246,4.375142505964926
participant 01 raw,公2,72.53422,72.92589,272.45228214346497,264.1662099372635,286.6857516369434,269.92648281012066,283.39392767308004,4.137662204305528,4.043118761949337,4.5373456872641915
participant 01 raw,祖1,74.30172,74.59281,290.81341791882085,254.21670092112987,301.21213968967874,289.8474377708219,261.0872718398492,4.799683927488617,4.765910265138411,3.7051473615213437
participant 01 raw,祖2,74.59281,74.95793,279.02983056837564,184.6360395559905,307.4487585128313,289.4817746455989,272.3514903546468,4.3798126781418,4.7530961712609665,4.133906277183636
participant 01 raw,舅1,76.5323,76.88396,222.42997860303132,200.81137762539694,261.3836421939436,253.12612040101482,218.420779249594,2.0785521541773595,3.3908076063583676,1.8939188090148913
participant 01 raw,舅2,76.88396,77.33995,181.24430848998804,60.596175465461435,232.4192841222359,196.66375613995655,61.123903540903626,0.0,0.8288118319359177,-11.033386513959297
participant 01 raw,嬢1,78.53874,78.81805,240.04692280596316,225.39867087123503,283.16366765843685,238.62743269885772,267.9214385656593,2.852270384639474,2.792066351369405,3.9674357194083916
participant 01 raw,孃2,78.81805,79.29928,285.7684870031369,277.51587816061686,300.6160743114298,287.01045745660775,290.3514277419542,4.622045302384088,4.666066008544064,4.783545336994592
participant 01 raw,伯1,80.42918,80.6903,209.1195796887908,193.17869300724612,252.12098994784003,221.65043382551596,202.570544346706,1.452183129409557,2.0429142627908763,1.129203131269053
participant 01 raw,伯2,80.6903,81.05675,220.28829532526075,203.14027339515175,286.51998887400777,204.97150589049718,268.39122119684424,1.9803404402583689,1.2488082888819538,3.9852189689810986
