speaker,syllable,t_start,t_end,f0_mean,f0_min,f0_max,f0_start,f0_end,T_mean,T_start,T_end,tone_5deg
participant 01 raw,弟3,52.45554,52.79155,221.60249132839945,206.73946155133063,244.96961777863547,,,2.158282593515451,,,22
participant 01 raw,弟4,52.79155,53.17788,183.4042691049268,73.53187494126178,228.2463761758102,,,0.3550789797928634,,,11
participant 01 raw,爷1,54.65145,54.95766,178.63680538243366,102.76175270554413,280.64178302388734,277.8647271861188,107.17895479257932,0.1040488640920807,4.314677196274335,-4.764938672152941,41
participant 01 raw,爷2,54.95766,55.42332,238.4342225040044,101.97728291460348,324.20644509545946,106.8773417165617,321.24946627874584,2.8560350400085146,-4.791797905713996,5.697477336025152,15
participant 01 raw,奶1,56.89223,57.15074,220.208686880934,196.2886107485974,254.26182158550773,,253.27350864504788,2.0981461477148833,,3.4314869590414716,22
participant 01 raw,奶2,57.15074,57.6227,270.98442882049324,258.34696969236614,285.2325255606529,259.602723752079,,4.075704550455603,3.66673742918323,,44
participant 01 raw,公1,58.86604,59.16466,257.76103685390586,218.3906472992637,286.1649958237256,,268.2053403111674,3.598880719390736,,3.977453828339328,44
participant 01 raw,公2,59.17807,59.59163,272.1364982289041,265.10963103671173,282.7526208217777,,,4.116139222854232,,,44
participant 01 raw,姑1,61.25282,61.55738,281.0731107319718,259.4968934826929,304.5291422003208,,,4.424097699912857,,,44
participant 01 raw,姑2,61.58321,62.02237,294.48615725950725,281.18800586870094,337.6386610681025,,,4.868408825951056,,,55
participant 01 raw,叔1,63.17453,63.60023,225.4537980308423,203.7061195738754,255.65156551458196,,203.8648971198691,2.322503259915583,,1.3631283109205783,22
participant 01 raw,叔2,63.60023,64.13698,270.80420279157966,203.80083878786968,337.0750106646582,207.0979582158413,,4.069363535005529,1.513093849299139,,44
participant 01 raw,婆1,65.41101,65.73407,228.64049733625944,206.9032094123392,273.86625020391233,,,2.4562777606871875,,,22
participant 01 raw,婆2,65.73407,66.14631,201.005121825431,90.5744271257228,266.6278154212235,,,1.228481930087955,,,11
participant 01 raw,婆3,67.49821,67.84482,220.12818639653605,198.6939357122284,263.81194645186366,,,2.094661293505123,,,22
participant 01 raw,婆4,67.84482,68.28206,261.54883934067067,230.19023752315812,327.1930318646052,,,3.73792067304026,,,44
participant 01 raw,老,69.45754,69.7604,255.23534590337007,246.69924084401416,266.14097473804776,,,3.505029356402649,,,44
participant 01 raw,婆3,69.7604,70.0039,220.30331754492892,196.08658725815536,275.14240125430985,,,2.1022410667179856,,,22
participant 01 raw,婆4,70.0039,70.37239,237.5794439743896,210.30431033186215,283.51692052704703,,281.79686483435245,2.8218051250721765,,4.44860832370803,33
participant 01 raw,老,72.01262,72.30707,252.9635755066885,239.81515624442864,285.83353702150004,285.6026541625145,,3.419816571396346,4.576467959618782,,33
participant 01 raw,公1,72.30707,72.53422,274.0858449856012,264.9764256658446,280.74948724543617,,265.3030369759112,4.1841679981154165,,3.873754244950887,44
participant 01 raw,公2,72.53422,72.92589,274.21357065287646,264.0241786618484,289.1660495496997,271.97797880099034,,4.188608495051882,4.110585766063237,,44
participant 01 raw,祖1,74.30172,74.59281,282.7640300755995,253.73155066119745,301.410898044544,,261.7433960365961,4.481264210501679,,3.74500784680833,44
participant 01 raw,祖2,74.59281,74.95793,269.8597947244995,182.55637607693168,309.24383176197784,258.08513485337414,306.3250338263208,4.036066631432435,3.610857148973608,5.244073075972361,45
participant 01 raw,舅1,76.5323,76.88396,227.17919705654597,200.585499384302,280.89595814954936,,208.0547509623994,2.3951668100871752,,1.557025946573216,22
participant 01 raw,舅2,76.88396,77.33995,186.3591291542801,169.3525743316836,233.08894791005395,206.11200503801751,,0.5074117750697118,1.467609969786809,,11
participant 01 raw,嬢1,78.53874,78.81805,247.6111002334234,225.3497988407608,283.73542457083573,,282.6627922768052,3.215984031144237,,4.477851201280236,33
participant 01 raw,孃2,78.81805,79.29928,285.46248523335663,277.43334886415,300.28743043142157,284.82977774805306,,4.571789129419233,4.550640762306231,,55
participant 01 raw,伯1,80.42918,80.6903,209.8218071710496,192.78269229950817,250.9087239252117,,,1.6376335693946469,,,22
participant 01 raw,伯2,80.6903,81.05675,231.50219491779347,203.22501357224417,286.88019063614524,,285.1994614654688,2.5748295126247043,,4.563003208665372,33
